timestamp,test_id,num_macros,num_std_cells,total_cells,num_nets,seed,overlap_ratio,num_cells_with_overlaps,normalized_wl,elapsed_time,train_time,wl_loss_time,overlap_loss_time,density_loss_time,backward_time,optimizer_time,eval_time,skipped_eval,tag
20260321_192046,1,2,20,22,496,1001,0.0,0,0.5221150010822695,15.211385128000003,2.7072431809999955,0.32202693199984367,0.25284877300001085,0.38553907499983353,1.376774821000133,0.20505630900021288,0.0005298319999980095,False,legalize_v1
20260321_192046,2,3,25,28,642,1002,0.0,0,0.45161562019753015,2.2336180839999997,2.233047629000005,0.2849175879998995,0.22345918200009862,0.3665068239998419,1.0837040130001228,0.20280716099980367,0.0004378610000017602,False,legalize_v1
20260321_192046,3,2,30,32,535,1003,0.0,0,0.6255657801230111,2.1524030929999967,2.151814444000003,0.265076985000249,0.21142084199998834,0.3634289119999252,1.0500655019999314,0.1919867110002187,0.0005004399999961606,False,legalize_v1
20260321_192046,4,3,50,53,1091,1004,0.0,0,0.5428123495783068,2.7632644850000005,2.761846312000003,0.39177661199992286,0.26580429599983546,0.4334425380002216,1.3606175739998037,0.22082620100013628,0.0012141719999974043,False,legalize_v1
20260321_192046,5,4,75,79,1339,1005,0.0,0,0.609412885005517,2.799112696999998,2.7947632210000037,0.41733161099993765,0.277352569000044,0.43544125899985886,1.3510497990000303,0.21641576899990156,0.004203738000001067,False,legalize_v1
20260321_192046,6,5,100,105,1821,1006,0.05714285714285714,6,0.507232661977756,3.023336178000001,3.016600514000004,0.42471924299991315,0.29866597999999556,0.4389578550000195,1.4007613240000012,0.21533602500024784,0.00642835600000069,False,legalize_v1
20260321_192046,7,5,150,155,2247,1007,0.012903225806451613,2,0.46256219612922067,3.152178309,3.141052368000004,0.4914419709998725,0.3097802500001947,0.44072223400005583,1.4298801489998922,0.21862132299997228,0.010947241000003771,False,legalize_v1
20260321_192046,8,7,150,157,2351,1008,0.0,0,0.46607890985457817,3.0334148310000018,3.024000858000001,0.4937719309999977,0.3045818410000649,0.4505101500000066,1.460528849999939,0.22516747500014134,0.009256643000000508,False,legalize_v1
20260321_192046,9,8,200,208,2997,1009,0.019230769230769232,4,0.49471477809285497,3.3613909099999972,3.340110353,0.5275817060002481,0.3172035339997876,0.4503957380000685,1.5009186440000306,0.23392696300005156,0.021126992999995764,False,legalize_v1
20260321_192046,10,10,2000,2010,20149,1010,0.003980099502487562,8,0.5150890127355537,13.302895548999999,13.281212553000003,1.1500918890002083,1.8832624989996845,0.5622610710005276,3.14707546399962,0.3432943080001678,0.02149679999999421,False,legalize_v1
