timestamp,test_id,num_macros,num_std_cells,total_cells,num_nets,seed,overlap_ratio,num_cells_with_overlaps,normalized_wl,elapsed_time,train_time,wl_loss_time,overlap_loss_time,backward_time,optimizer_time,eval_time,skipped_eval,tag
20260321_162431,1,2,20,22,496,1001,0.22727272727272727,5,0.5133151463903435,14.379384375999962,1.3911814299999605,0.2220476160000544,0.15877700399710193,0.8356298559961033,0.12784172100441538,0.0003593809999529185,False,scalable_v1_full
20260321_162431,2,3,25,28,642,1002,0.6428571428571429,18,0.41588872095428003,0.9744743759999892,0.9739147380000759,0.16096114399806538,0.1752628309989177,0.4905123860016829,0.10535456599950521,0.00047540400009893347,False,scalable_v1_full
20260321_162431,3,2,30,32,535,1003,0.4375,14,0.634988510345701,0.9820057470001302,0.9813995169999998,0.16310067699873798,0.16470559899948967,0.49922579800522726,0.11277742399806812,0.0005377479999424395,False,scalable_v1_full
20260321_162431,4,3,50,53,1091,1004,0.5094339622641509,27,0.46553346295877074,1.1299039150001136,1.1278031730000748,0.2304707450064143,0.164500046995272,0.5710063539966086,0.11781267900255443,0.0019548749999103165,False,scalable_v1_full
20260321_162431,5,4,75,79,1339,1005,0.5569620253164557,44,0.5655983345999033,1.2289029260000461,1.226197342999967,0.24364228300009927,0.21565345799740498,0.6042825010033539,0.11594774899594995,0.002564089000088643,False,scalable_v1_full
20260321_162431,6,5,100,105,1821,1006,0.580952380952381,61,0.44907682570602897,1.2269849639999393,1.2225230789999841,0.23301279900056215,0.22204915199768038,0.6094886300015787,0.11490085499826819,0.0043239070000709035,False,scalable_v1_full
20260321_162431,7,5,150,155,2247,1007,0.45161290322580644,70,0.43741697485629005,1.4205520940001861,1.411107328999833,0.25265552199357444,0.29309141000294403,0.7069270190002044,0.1178256659982253,0.009255423000013252,False,scalable_v1_full
20260321_162431,8,7,150,157,2351,1008,0.3885350318471338,61,0.4654060579268853,1.4475565370000822,1.4378583569998682,0.2583572840032957,0.2866941740019229,0.731998660001409,0.11776306499996281,0.009560841000165965,False,scalable_v1_full
20260321_162431,9,8,200,208,2997,1009,0.25,52,0.4544592263032011,1.8106168819999766,1.7880373409998356,0.2548960880003506,0.4343524919963784,0.9363806390044829,0.11981957399666499,0.022458656000026167,False,scalable_v1_full
20260321_162431,10,10,2000,2010,20149,1010,0.7567164179104477,1521,0.39937982195950117,3.020598059999884,2.987083198999926,0.6051351469982365,0.8314810150020548,1.2951775289977832,0.19241856500389076,0.0333880800001225,False,scalable_v1_full
