timestamp,test_id,num_macros,num_std_cells,total_cells,num_nets,seed,overlap_ratio,num_cells_with_overlaps,normalized_wl,elapsed_time,train_time,wl_loss_time,overlap_loss_time,density_loss_time,backward_time,optimizer_time,eval_time,skipped_eval,tag
20260322_143733,1,2,20,22,496,1001,0.0,0,0.414364536279951,18.120504615999998,5.566239060000001,0.13429784500011266,0.09112625699997068,0.13212988499987688,0.6521803119999845,0.07112883100008816,0.00032422099999962484,False,detailed_v1
20260322_143733,4,3,50,53,1091,1004,0.0,0,0.4327282673377425,34.576518157,34.574721194999995,0.1613846360001503,0.07899800699993165,0.12032692499999342,0.46757529700003886,0.06977085999997001,0.0013858310000074425,False,detailed_v1
20260322_143733,7,5,150,155,2247,1007,0.0,0,0.30848130408771623,305.09476781499995,305.08508767700005,0.17261701799999685,0.08051543100006597,0.12984557900016114,0.4235113939997035,0.06487749400000098,0.00931678599999941,False,detailed_v1
20260322_143733,8,7,150,157,2351,1008,0.0,0,0.3243783875881801,219.74403694799997,219.73131173200005,0.11787237799984496,0.06617789300088361,0.09958762600007276,0.3106945899995708,0.05280337099986809,0.01224236899997777,False,detailed_v1
