timestamp,test_id,num_macros,num_std_cells,total_cells,num_nets,seed,overlap_ratio,num_cells_with_overlaps,normalized_wl,elapsed_time,train_time,wl_loss_time,overlap_loss_time,density_loss_time,backward_time,optimizer_time,eval_time,skipped_eval,tag
20260322_133336,1,2,20,22,496,1001,0.0,0,0.43262896240189835,17.3713415860002,2.0333828789998734,0.06595872299931216,0.053728743000419854,0.09564376600019386,0.3033100430020568,0.050976279996120866,0.0003000120000251627,False,quick_v2
20260322_133336,4,3,50,53,1091,1004,0.0,0,0.4426618571346075,2.485087816000032,2.483633757000007,0.11773130200458581,0.0640469439986191,0.11737167900082568,0.33469234699964545,0.05993926400174132,0.0012546230000225478,False,quick_v2
20260322_133336,8,7,150,157,2351,1008,0.0,0,0.3446878918267007,12.69280607199994,12.682968108000068,0.11353337599871338,0.06999665400053345,0.10693806299946118,0.33315148899987435,0.05512922600064485,0.00962090400003035,False,quick_v2
